CustomerID,Churn
50001,1
50002,1
50003,1
50004,1
50005,1
50006,1
50007,1
50009,1
50010,1
50012,1
50015,1
50016,1
50017,1
50018,1
50019,1
50020,1
50021,1
50022,1
50023,1
50024,1
50025,1
50026,1
50027,0
50028,0
50029,0
50033,0
50034,0
50035,0
50037,0
50038,0
50039,0
50040,0
50041,0
50042,0
50044,0
50045,0
50046,0
50047,1
50048,0
50049,0
50050,0
50051,0
50052,0
50053,1
50054,0
50055,0
50057,0
50059,0
50060,0
50061,0
50062,0
50063,0
50065,0
50066,0
50067,0
50068,1
50069,0
50070,0
50071,0
50072,0
50074,0
50075,0
50076,0
50077,0
50079,0
50081,1
50082,0
50083,0
50084,0
50085,0
50086,1
50087,0
50088,0
50090,1
50091,0
50092,1
50094,0
50095,0
50096,0
50098,0
50099,0
50100,0
50102,0
50104,0
50105,1
50107,0
50108,0
50109,0
50110,1
50111,0
50113,0
50115,1
50116,0
50117,0
50119,0
50120,0
50121,0
50122,0
50123,0
50124,0
50125,0
50126,1
50127,0
50128,0
50129,0
50130,0
50131,0
50132,0
50133,0
50135,1
50136,0
50137,0
50138,0
50139,0
50141,0
50143,0
50144,0
50145,0
50146,0
50147,1
50148,0
50149,0
50150,0
50152,0
50153,0
50154,0
50156,0
50158,0
50160,0
50164,1
50165,0
50167,0
50168,0
50169,1
50170,0
50171,0
50172,1
50173,0
50175,0
50177,0
50178,0
50181,0
50183,0
50184,0
50185,0
50188,0
50189,0
50190,0
50191,0
50194,0
50195,0
50197,0
50198,0
50200,0
50201,0
50202,0
50203,1
50204,0
50205,0
50207,0
50208,0
50209,0
50210,0
50211,0
50212,1
50215,0
50216,0
50217,0
50219,0
50220,0
50221,0
50222,0
50223,0
50224,0
50225,0
50226,0
50227,0
50228,0
50229,0
50230,0
50231,0
50232,0
50233,1
50234,0
50235,0
50236,0
50237,0
50238,0
50239,1
50240,0
50241,0
50242,1
50243,0
50245,0
50246,1
50249,0
50250,0
50252,0
50253,0
50254,1
50255,0
50257,0
50259,0
50262,0
50264,0
50266,0
50268,0
50269,0
50270,0
50271,0
50272,0
50273,0
50274,0
50275,0
50276,0
50277,0
50278,0
50279,0
50280,0
50281,1
50282,0
50283,0
50284,0
50288,0
50289,0
50290,1
50291,1
50293,0
50294,0
50295,0
50299,0
50300,0
50302,0
50303,0
50304,0
50305,0
50306,0
50309,0
50310,0
50311,1
50312,1
50313,0
50314,0
50315,1
50316,1
50317,0
50319,1
50321,0
50322,0
50323,0
50325,0
50327,0
50328,0
50330,0
50331,0
50333,1
50334,0
50336,0
50337,0
50338,0
50340,0
50341,0
50342,0
50343,0
50344,0
50345,1
50346,0
50347,0
50348,0
50349,0
50350,0
50351,0
50352,0
50353,0
50354,0
50356,1
50358,1
50359,0
50360,0
50361,0
50362,0
50363,0
50364,0
50365,0
50366,0
50367,0
50368,0
50369,0
50370,0
50371,1
50372,0
50373,0
50374,0
50375,0
50376,0
50377,0
50378,0
50379,0
50380,1
50383,0
50384,0
50385,0
50386,0
50387,0
50388,0
50389,1
50390,1
50391,0
50392,0
50393,0
50394,0
50395,0
50396,0
50397,0
50398,0
50399,0
50400,0
50401,1
50404,1
50405,0
50406,0
50407,0
50408,0
50409,0
50410,0
50411,0
50412,0
50413,0
50414,0
50415,0
50417,0
50419,0
50423,1
50424,0
50425,0
50426,0
50427,0
50428,0
50429,0
50430,0
50431,0
50432,0
50433,0
50434,0
50435,0
50436,0
50437,0
50439,0
50440,0
50441,0
50442,1
50443,0
50445,0
50447,0
50449,1
50450,0
50451,0
50452,0
50453,0
50455,0
50456,0
50457,0
50458,0
50459,0
50460,0
50462,0
50463,0
50464,0
50465,1
50466,0
50467,1
50469,0
50470,0
50472,0
50475,0
50476,0
50477,0
50478,0
50480,0
50481,0
50482,0
50483,1
50486,0
50487,0
50489,0
50490,1
50491,0
50492,0
50494,0
50495,0
50496,0
50497,0
50498,0
50499,0
50500,0
50501,0
50503,0
50504,0
50505,0
50506,0
50507,0
50508,0
50509,0
50511,0
50513,0
50514,0
50515,0
50517,0
50518,0
50519,0
50520,0
50521,1
50522,0
50523,0
50524,0
50525,0
50526,0
50527,0
50528,0
50529,0
50530,0
50531,0
50532,1
50533,0
50534,0
50535,0
50537,0
50538,1
50539,1
50540,0
50541,0
50542,1
50543,1
50544,0
50545,1
50546,0
50547,0
50548,0
50549,0
50550,0
50551,0
50552,0
50554,0
50555,0
50556,0
50557,0
50558,0
50559,1
50560,0
50561,0
50562,0
50564,1
50565,1
50566,0
50567,0
50568,0
50570,0
50571,1
50572,0
50573,0
50574,0
50575,0
50577,0
50578,0
50581,0
50583,0
50585,1
50586,0
50587,1
50588,0
50591,0
50592,0
50593,0
50594,0
50595,0
50596,1
50597,0
50598,0
50599,0
50600,0
50601,1
50603,0
50604,0
50605,0
50608,1
50609,0
50610,0
50611,0
50613,0
50614,0
50615,0
50616,0
50617,0
50618,0
50620,1
50621,0
50622,0
50624,1
50625,1
50626,0
50628,1
50629,0
50630,0
50631,0
50632,0
50633,0
50635,0
50637,1
50638,1
50639,0
50640,0
50641,0
50642,0
50643,0
50644,0
50645,0
50646,0
50647,0
50648,0
50652,1
50653,1
50654,0
50656,1
50657,0
50658,0
50659,0
50660,0
50662,0
50663,0
50664,0
50665,1
50666,0
50667,1
50668,1
50671,0
50672,1
50673,1
50674,1
50676,1
50677,1
50678,0
50680,0
50681,0
50682,0
50683,0
50684,0
50685,0
50686,0
50687,0
50688,0
50689,1
50690,0
50691,0
50692,0
50693,0
50694,0
50695,0
50696,0
50699,0
50700,0
50703,0
50704,1
50705,1
50706,0
50707,1
50708,0
50709,0
50710,0
50712,1
50713,0
50714,1
50715,0
50716,0
50717,0
50720,0
50721,0
50722,0
50723,0
50724,0
50727,0
50728,0
50729,0
50730,0
50731,0
50732,0
50733,1
50734,0
50735,0
50736,1
50737,0
50738,0
50739,0
50740,1
50741,0
50742,0
50743,0
50745,0
50746,0
50747,1
50748,0
50749,0
50751,0
50752,0
50754,0
50755,0
50757,0
50759,0
50760,0
50761,0
50762,0
50763,0
50764,0
50767,0
50769,0
50770,0
50771,0
50772,0
50776,0
50777,0
50778,0
50779,0
50780,0
50781,0
50782,0
50783,0
50784,0
50785,0
50787,1
50788,0
50789,1
50790,0
50791,1
50793,0
50794,0
50795,0
50796,0
50797,0
50798,0
50801,0
50802,0
50803,0
50804,1
50805,0
50806,0
50807,0
50810,0
50811,0
50812,0
50813,0
50814,0
50816,1
50818,0
50819,0
50820,0
50822,1
50823,1
50824,0
50825,0
50828,1
50829,1
50830,0
50831,0
50832,0
50834,0
50836,0
50838,0
50839,0
50840,0
50841,0
50842,1
50843,0
50845,0
50846,0
50847,0
50848,0
50849,0
50850,0
50851,1
50852,0
50854,0
50855,0
50856,1
50857,1
50858,0
50859,0
50860,0
50862,0
50863,0
50864,0
50867,0
50868,0
50869,0
50870,0
50871,0
50872,0
